rowID,repID,startDate,endDate,days,tray,femAge,pupWeight,pupNo,Eggs,L1,L2,L3
1,1,22/11/2021,29/11/2021,7,10,3,26.6,221,22,1,3,3
2,1,22/11/2021,29/11/2021,7,9,4,29.7,122,1,1,0,4
3,1,22/11/2021,29/11/2021,7,8,5,29.4,273,1,1,1,7
4,1,22/11/2021,29/11/2021,7,7,6,29.5,156,3,1,5,4
5,1,22/11/2021,29/11/2021,7,6,7,30.6,186,2,1,2,5
6,1,22/11/2021,29/11/2021,7,5,8,28.3,148,2,3,1,6
7,1,22/11/2021,29/11/2021,7,4,9,28.1,149,2,1,4,6
8,2,21/02/2022,06/03/2022,13,10,3,26.18,267,40,10,1,3
9,2,21/02/2022,06/03/2022,13,9,4,27.84,311,15,8,6,4
10,2,21/02/2022,06/03/2022,13,8,5,29.22,348,3,5,1,10
11,2,21/02/2022,06/03/2022,13,7,6,28.72,391,2,5,1,4
12,2,21/02/2022,06/03/2022,13,6,7,28.16,391,4,6,4,8
13,2,21/02/2022,06/03/2022,13,5,8,28.11,314,11,9,11,10
14,2,21/02/2022,06/03/2022,13,4,9,26.98,214,18,11,18,26
15,2,21/02/2022,06/03/2022,13,3,10,26.92,70,33,12,20,11
16,3,07/03/2022,22/03/2022,15,10,3,26.33,310,75,2,3,2
17,3,07/03/2022,22/03/2022,15,9,4,26.74,422,19,2,2,2
18,3,07/03/2022,22/03/2022,15,8,5,27.98,493,10,2,2,10
19,3,07/03/2022,22/03/2022,15,7,6,28.5,464,4,1,4,10
20,3,07/03/2022,22/03/2022,15,6,7,28.21,458,4,6,12,27
21,3,07/03/2022,22/03/2022,15,5,8,28.38,399,1,2,2,14
22,3,07/03/2022,22/03/2022,15,4,9,27.7,258,3,6,7,24
23,3,07/03/2022,22/03/2022,15,3,10,27.4,214,36,18,10,23
24,3,07/03/2022,22/03/2022,15,2,11,26.17,58,51,20,19,18
25,3,07/03/2022,22/03/2022,15,1,12,22.22,16,40,16,12,17
26,4,23/03/2022,08/04/2022,16,10,3,30.13,266,72,2,4,7
27,4,23/03/2022,08/04/2022,16,9,4,29.17,454,25,0,4,3
28,4,23/03/2022,08/04/2022,16,8,5,29.31,403,4,1,5,12
29,4,23/03/2022,08/04/2022,16,7,6,28.84,495,5,4,4,11
30,4,23/03/2022,08/04/2022,16,6,7,28.52,414,4,3,5,22
31,4,23/03/2022,08/04/2022,16,5,8,26.93,333,8,10,10,24
32,4,23/03/2022,08/04/2022,16,4,9,27.16,218,10,9,12,36
33,4,23/03/2022,08/04/2022,16,3,10,26.65,192,25,22,18,28
34,4,23/03/2022,08/04/2022,16,2,11,24.95,68,50,25,16,34
35,4,23/03/2022,08/04/2022,16,1,12,26.15,46,32,14,13,24
