larviposition_id,name,adults_id,wet_weight,abortion_stage,abortion,timeToLarv,larvNum,timeBetLarv,mAgeDays,parity,sex,sexN
1,control,77,32.3,0,0,17,1,17,17,first,NA,NA
2,control,23,28.3,0,0,18,1,18,18,first,m,1
3,control,36,30,0,0,18,1,18,18,first,f,0
4,control,61,29,0,0,18,1,18,18,first,m,1
5,control,67,29.8,0,0,18,1,18,18,first,f,0
6,nutrition,113,25.2,0,0,18,1,18,18,first,m,1
7,nutrition,123,23.5,0,0,18,1,18,18,first,m,1
8,nutrition,124,25.8,0,0,18,1,18,18,first,f,0
9,nutrition,158,23.8,0,0,18,1,18,18,first,f,0
10,nutrition,161,28.7,0,0,18,1,18,18,first,f,0
11,nutrition,173,23.6,0,0,18,1,18,18,first,m,1
12,nutrition,132,22.8,0,0,19,1,19,19,first,m,1
13,control,27,29.6,0,0,19,1,19,19,first,m,1
14,control,53,28.1,0,0,19,1,19,19,first,m,1
15,nutrition,128,25.2,0,0,19,1,19,19,first,m,1
16,nutrition,142,20.1,0,0,19,1,19,19,first,NA,NA
17,nutrition,104,NA,1,1,19,1,19,19,first,NA,NA
18,nutrition,138,NA,1,1,19,1,19,19,first,NA,NA
19,control,4,30.9,0,0,20,1,20,20,first,f,0
20,control,21,28.7,0,0,20,1,20,20,first,f,0
21,control,11,30,0,0,20,1,20,20,first,NA,NA
22,control,12,26.7,0,0,20,1,20,20,first,f,0
23,control,17,27,0,0,20,1,20,20,first,NA,NA
24,control,32,30.6,0,0,20,1,20,20,first,m,1
25,control,34,30.6,0,0,20,1,20,20,first,NA,NA
26,control,39,31.7,0,0,20,1,20,20,first,NA,NA
27,control,40,32.5,0,0,20,1,20,20,first,m,1
28,control,41,25.1,0,0,20,1,20,20,first,m,1
29,control,43,27.5,0,0,20,1,20,20,first,f,0
30,control,48,26,0,0,20,1,20,20,first,NA,NA
31,control,55,28.3,0,0,20,1,20,20,first,NA,NA
32,control,63,27.9,0,0,20,1,20,20,first,m,1
33,control,69,28.8,0,0,20,1,20,20,first,m,1
34,control,73,32.4,0,0,20,1,20,20,first,m,1
35,control,78,30.5,0,0,20,1,20,20,first,NA,NA
36,control,81,29.1,0,0,20,1,20,20,first,m,1
37,control,85,27.5,0,0,20,1,20,20,first,NA,NA
38,control,86,28.5,0,0,20,1,20,20,first,NA,NA
39,control,87,25.8,0,0,20,1,20,20,first,m,1
40,control,89,33.8,0,0,20,1,20,20,first,m,1
41,control,91,33.2,0,0,20,1,20,20,first,NA,NA
42,nutrition,137,22.7,0,0,20,1,20,20,first,NA,NA
43,nutrition,140,23.2,0,0,20,1,20,20,first,f,0
44,nutrition,141,21,0,0,20,1,20,20,first,f,0
45,nutrition,152,24.5,0,0,20,1,20,20,first,m,1
46,nutrition,169,21.4,0,0,20,1,20,20,first,m,1
47,nutrition,174,23.1,0,0,20,1,20,20,first,f,0
48,nutrition,176,23.2,0,0,20,1,20,20,first,f,0
49,nutrition,177,22.3,0,0,20,1,20,20,first,m,1
50,nutrition,178,25.6,0,0,20,1,20,20,first,f,0
51,nutrition,181,22.3,0,0,20,1,20,20,first,m,1
52,nutrition,187,23.2,0,0,20,1,20,20,first,f,0
53,nutrition,107,22.2,0,0,20,1,20,20,first,m,1
54,nutrition,108,27.2,0,0,20,1,20,20,first,NA,NA
55,nutrition,111,26.4,0,0,20,1,20,20,first,m,1
56,nutrition,120,21.7,0,0,20,1,20,20,first,m,1
57,nutrition,127,26.9,0,0,20,1,20,20,first,m,1
58,nutrition,129,20.5,0,0,20,1,20,20,first,NA,NA
59,nutrition,133,24.7,0,0,20,1,20,20,first,m,1
60,nutrition,130,20.8,0,0,20,1,20,20,first,NA,NA
61,nutrition,145,25.9,0,0,20,1,20,20,first,f,0
62,nutrition,102,NA,3,1,20,1,20,20,first,NA,NA
63,control,6,24.9,0,0,21,1,21,21,first,NA,NA
64,control,9,27.3,0,0,21,1,21,21,first,m,1
65,control,10,25.3,0,0,21,1,21,21,first,m,1
66,control,30,31,0,0,21,1,21,21,first,m,1
67,control,31,31,0,0,21,1,21,21,first,f,0
68,control,44,28.5,0,0,21,1,21,21,first,NA,NA
69,control,45,26.1,0,0,21,1,21,21,first,NA,NA
70,control,46,25.5,0,0,21,1,21,21,first,NA,NA
71,control,52,28,0,0,21,1,21,21,first,f,0
72,control,54,31.9,0,0,21,1,21,21,first,NA,NA
73,control,68,22.8,0,0,21,1,21,21,first,m,1
74,control,74,29.4,0,0,21,1,21,21,first,NA,NA
75,nutrition,98,20.6,0,0,21,1,21,21,first,m,1
76,nutrition,103,27.7,0,0,21,1,21,21,first,NA,NA
